Title^Guest^Guest^Guest^Guest^Guest^Length^Producer/Host^Engineer^Date Submitted^Date On Air^Type^Release Form^Notes^Photo
ARTonAIR Interviews #1: The Feature^Michel Auder^Andrew Neel^^^^32m28s^Alanna Heiss^^3/4/09^3/9/09^AT^yes^^y
ARTonAIR Interviews #2: Steve Gianakos^Steve Gianakos^^^^^29m^Jane Kaplowitz^^12/17/08^3/9/09^AT^^^y
ARTonAIR Interviews #3: Ry Rocklen and Nick Lowe^Ry Rocklen^Nick Lowe^^^^33m^Alanna Heiss^Jeannie Hopper^3/5/09^3/16/09^AT^yes^^y
ARTonAIR Interviews #4: A New Stance for Tomorrow: Wallflowers of Manatoba^Natalie Kovacs^Noam Gonick^^^^18m^David Weinstein^Jeannie Hopper^3/5/09^3/23/09^AT^yes^^y
ARTonAIR Interviews #5: Chris Martin^Chris Martin^^^^^^Phong Bui^Jeannie Hopper^3/18/09^3/23/09^AT^yes^^y
ARTonAIR Interviews #6: Art by the Ferry 2009^Ira Goldstein^Susan Gramel^Ken Struve^Joyce Malerba Goldstein^Marian Fontana^31m38s^David Weinstein^Jeannie Hopper^4/2/09^4/13/09^AT^yes^^nnnnn
Frank Prattle with Zefrey Throwell #16:Drawings on Writings^Serge Onen^Joan Ribas^^^^25m^Zefrey Throwell^Zefrey Throwell^3/6/09^3/23/09^AT^no^^yy
Frank Prattle with Zefrey Throwell #17:Cecily Brown^Cecily Brown^^^^^59m25s^Zefrey Throwell^Zefrey Throwell^1/9/09^3/30/09^AT^^^y
Frank Prattle with Zefrey Throwell #18: Mungo Thomson^Mungo Thomson^^^^^23m51s^Zefrey Throwell^Zefrey Throwell^4/2/09^4/13/09^AT^^^y
Close Listening #62^Michael Davidson^^^^^26m^Charles Bernstein^Jeannie Hopper^3/24/09^4/6/09^P/SW^^^y
Close Listening #63^Michael Davidson^^^^^29m51s^Charles Bernstein^UPenn^3/24/09^4/13/09^P/SW^^^y
Close Listening #64^Alan Loney^^^^^^Charles Bernstein^^3/11/09^3/30/09^P/SW^^^y
Close Listening #65^Alan Loney^^^^^29m^Charles Bernstein^^3/11/09^3/16/09^P/SW^^^y
Beyond the Subtitles #206^Jason Isaacs^^^^^20m34s^Stephen Schaefer^Stephen Schaefer^9-Jan^2/9/09^AT^^^y
Beyond the Subtitles #207^Henry Selick^^^^^25m06s^Stephen Schaefer^Stephen Schaefer^1/29/09^2/16/09^AT^no^^y
Beyond the Subtitles #208^Dorris Dorrie^^^^^25m42s^Stephen Schaefer^Stephen Schaefer^1/29/09^2/16/09^AT^no^^y
Beyond the Subtitles #209^Laurent Cantet^^^^^25m^Stephen Schaefer^Stephen Schaefer^12/16/08^2/23/09^AT^^^y
Beyond the Subtitles #210^Jay McCarroll^^^^^29m^Stephen Schaefer^Stephen Schaefer^2/16/09^3/9/09^AT^^^y
Beyond the Subtitles #211^Michel Gondry^Leos Carax^^^^36m^Stephen Schaefer^Stephen Schaefer^3/3/09^3/16/09^AT^no^^y
Beyond the Subtitles #212^Christophe Barratier^^^^^34m^Stephen Schaefer^Stephen Schaefer^3/8/09^3/23/09^AT^no^^y
Beyond the Subtitles #213^Nora Arnezeder^^^^^27m^Stephen Schaefer^Stephen Schaefer^3/8/09^3/23/09^AT^no^^y
Beyond the Subtitles #214^Cary Fukunaga^^^^^25m^Stephen Schaefer^Stephen Schaefer^3/8/09^3/30/09^AT^^^y
Beyond the Subtitles #215^Clay Enos^^^^^14m30s^Stephen Schaefer^Stephen Schaefer^3/8/09^4/6/09^AT^^^y
Beyond the Subtitles #216^Martin Provost^^^^^33m31s^Stephen Schaefer^Stephen Schaefer^3/11/09^4/13/09^AT^no^^y 
Lost and Found Sound #12: The Professor Returns, Part 2^The Professor^^^^^25m38s^Brian Belott^Jeannie Hopper^11/13/09^2/23/09^P/SW^^^n
Radio Theatre and Spoken Word #13: Messa di Voce^Jaap Blonk^Zachary Lieberman^Joan LaBarbara^^^26m23s^David Weinstein^David Weinstein^2/18/09^2/20/09^MT^no^^yyy
Radio Theatre and Spoken Word #19: Community~Word Project Benefit^A. Van Johnson^Dion Graham^Rosia Mendez^^^1h18m^^Elliot Stapleton^4/3/09^4/13/09^R^yes^^yyn
Art & Technology #27^John Gerrard^^^^^28m^Daniel Durning^Daniel Durning^3/11/09^3/23/09^AT^no^^y
Our Correspondents, San Francisco #15: Barry Jenkins^Barry Jenkins^^^^^28m^Tania Ketenjian^^3/23/09^3/30/09^AT^^^y
Our Correspondents, San Francisco #16: Society for the Encouragement of Contemporary Art^Apsara DiQuinzio^Allison Gass^^^^29m57s^Tania Ketenjian^^4/1/09^4/6/09^AT^no^^yy
Jane Kaplowitz, Talk to Me #1^Laurie Simmons^^^^^25m^Jane Kaplowitz^David Weinstein^3/31/09^4/6/09^AT^yes^^y
Radio Profiles #24: 3-Legged Dog, Rods and Cables^Allison Keating^^^^^22m^David Weinstein^David Weinstein^3/31/09^4/6/09^AT^yes^^y
Living History #57: The Triangle Fire Remembrance Coalition^various members of coalition^^^^^33m24s^Rose Imperato^Elliot Stapleton^4/3/09^4/13/09^LH^yes^^n
Close Listening #79: Ken Jacobs Reading^Ken Jacobs^^^^^28m^Charles Bernstein^Jeannie Hopper^8/4/09^8/31/09^P/SW^^^y
Bargaining, by Kellie Powell, Pt.1^^^^^^41m01s^Kellie Powell and Ava Rosenblatt^Jeannie Hopper^8/10/09^8/31/09^P/SW^^^n
Bargaining, by Kellie Powell, Pt.2^^^^^^36m15s^Kellie Powell and Ava Rosenblatt^Jeannie Hopper^8/10/09^9/7/09^P/SW^^^n
Beyond the Subtitles #240: Dori Bernstein, Gotta Dance^Dori Berinstein^^^^^24m^Stephen Schaefer^Stephen Schaefer^7/28/09^8/31/09^AT^^^y
Beyond the Subtitles #242: Renee Zellweger and George Hamilton, My One And Only^Renee Zellweger^George Hamilton^^^^12m51s^Stephen Schaefer^Stephen Schaefer^8/20/09^8/31/09^AT^^^yy
The Greatest Interview Show of All Time: Hugo Berkeley^Hugo Berkeley^^^^^31m28s^Will Corwin^Elliot Stapleton^8/13/09^8/31/09^AT^yes^^n
The Greatest Interview Show of All Time: Crystal Field^Crystal Field^^^^^34m17s^Will Corwin^Jeannie Hopper^8/12/09^8/24/09^AT^^^y
ARTonAIR Interviews: Kevin Cunningham, 3-Legged Dog Inc.^Kevin Cunningham^^^^^19m^David Weinstein^Jeannie Hopper^8/24/09^9/7/09^AT^^^y
Off the Rail: Will Ryman^Will Ryman^^^^^43m^Phong Bui^Jeannie Hopper^8/24/09^8/31/09^AT^^^y
Close Listening #80: Ken Jacobs, Pt. 2^Ken Jacobs^^^^^27m^Charles Bernstein^Jeannie Hopper^8/4/09^9/7/09^P/SW^^^y
Beyond the Subtitles #241: Paul Giamatti, Cold Souls^Paul Giamatti^^^^^21m^Stephen Schaefer^Stephen Schaefer^^9/7/09^AT^^^y
Beyond the Subtitles #239: Alexis Bledel, Post Grad^Alexis Bledel^^^^^15m^Stephen Schaefer^Stephen Schaefer^7/29/09^8/24/09^AT^^^y
Close Listening #77: Bruce Pearson Interview^Bruce Pearson^^^^^27m23s^Charles Bernstein^Jeannie Hopper^8/4/09^8/24/09^P/SW^^^
Radio Profiles: Roulette^Jim Staley^Matt Mehlan^Doron Sadja^Kimberly Young^^38m21s^David Weinstein^Jeannie Hopper^8/5/09^8/17/09^MT^yes^^yyyn
